knockdown_PmSTAT-UP	WSSV_infection-UP
	TRINITY_DN67860_c0_g1
	TRINITY_DN85095_c3_g1
	TRINITY_DN93714_c3_g3
	TRINITY_DN86288_c14_g2
	TRINITY_DN82146_c7_g1
	TRINITY_DN82998_c5_g4
	TRINITY_DN92256_c6_g1
	TRINITY_DN93681_c4_g1
	TRINITY_DN74058_c7_g1
	TRINITY_DN93155_c5_g5
	TRINITY_DN91050_c5_g4
	TRINITY_DN83493_c3_g3
	TRINITY_DN92057_c1_g1
	TRINITY_DN90595_c13_g1
	TRINITY_DN89527_c4_g1
	TRINITY_DN93526_c4_g1
	TRINITY_DN91982_c5_g1
	TRINITY_DN80408_c12_g1
	TRINITY_DN88237_c19_g4
	TRINITY_DN77963_c7_g2
	TRINITY_DN85437_c3_g6
	TRINITY_DN78687_c0_g2
	TRINITY_DN82683_c9_g1
	TRINITY_DN85596_c1_g2
	TRINITY_DN93701_c4_g2
	TRINITY_DN90172_c6_g4
	TRINITY_DN74005_c14_g1
	TRINITY_DN78959_c0_g1
	TRINITY_DN77971_c23_g2
	TRINITY_DN90677_c9_g5
	TRINITY_DN91213_c2_g1
	TRINITY_DN86647_c0_g1
	TRINITY_DN92389_c1_g1
	TRINITY_DN91759_c10_g1
	TRINITY_DN80188_c10_g2
	TRINITY_DN75963_c11_g2
	TRINITY_DN85314_c14_g1
	TRINITY_DN72377_c10_g7
	TRINITY_DN82129_c10_g1
	TRINITY_DN89478_c5_g4
	TRINITY_DN74772_c17_g5
	TRINITY_DN87677_c11_g3
	TRINITY_DN84985_c0_g1
	TRINITY_DN73052_c14_g3
	TRINITY_DN89887_c7_g6
	TRINITY_DN88490_c2_g1
	TRINITY_DN81726_c5_g1
	TRINITY_DN90463_c1_g1
	TRINITY_DN93344_c5_g4
	TRINITY_DN73661_c4_g1
	TRINITY_DN91728_c12_g4
	TRINITY_DN88958_c9_g2
	TRINITY_DN83408_c0_g1
	TRINITY_DN91849_c1_g1
	TRINITY_DN84918_c10_g1
	TRINITY_DN79705_c4_g1
	TRINITY_DN81092_c8_g3
	TRINITY_DN74024_c11_g1
	TRINITY_DN79705_c5_g1
	TRINITY_DN80838_c14_g1
	TRINITY_DN91105_c7_g3
	TRINITY_DN83281_c15_g1
	TRINITY_DN82346_c14_g1
	TRINITY_DN92213_c4_g2
	TRINITY_DN91237_c5_g4
	TRINITY_DN65756_c0_g1
	TRINITY_DN90134_c7_g1
	TRINITY_DN93155_c5_g2
	TRINITY_DN92350_c4_g2
	TRINITY_DN89887_c7_g4
	TRINITY_DN73198_c8_g1
	TRINITY_DN72377_c10_g3
	TRINITY_DN83493_c3_g1
	TRINITY_DN84207_c8_g1
	TRINITY_DN90858_c9_g1
	TRINITY_DN91284_c4_g1
	TRINITY_DN93286_c1_g1
